DATE,TMIN,TAVG,TMAX,PAVG,PMIN,PMAX,stateProvince,total_n_species,Nymphalidae_n_species,Apidae_n_species,Noctuidae_n_species,Lepidoptera_n_species,Papilionidae_n_species,Coleoptera_n_species
1901,39.24285714285714,49.04,58.583333333333336,59.65111111111111,38.67,68.77,Connecticut,7,,,,6.0,,1.0
1902,39.6,49.42,59.54,52.37857142857143,34.96,61.85,Connecticut,7,,1.0,,1.0,1.0,1.0
1903,38.92857142857143,48.785714285714285,58.65714285714286,49.26285714285715,34.44,58.02,Connecticut,9,,,,5.0,,
1904,35.6,46.025,56.22857142857144,43.52625,38.05,48.22,Connecticut,45,,5.0,,4.0,,
1905,38.48,48.74,59.02,41.73571428571428,36.13,52.78,Connecticut,30,,5.0,,8.0,,1.0
1906,39.85714285714285,49.68333333333334,59.81666666666666,47.49857142857143,40.93,54.63,Connecticut,47,5.0,,10.0,46.0,1.0,
1907,37.38,47.760000000000005,57.771428571428565,45.988,42.97,48.15,Connecticut,23,,1.0,6.0,21.0,,
1908,39.475,49.775,60.075,43.04555555555556,35.97,46.96,Connecticut,95,,,23.0,93.0,,
1909,38.9375,48.8875,58.85,44.06,39.29,46.8,Connecticut,92,,1.0,13.0,91.0,,
1910,39.2,49.3,59.4125,38.8825,34.88,45.67,Connecticut,93,,4.0,8.0,82.0,,3.0
1911,39.3625,49.4625,59.5625,44.34125,35.96,48.53,Connecticut,61,,,3.0,58.0,,
1912,38.45,48.525,58.6,43.19571428571429,38.89,45.19,Connecticut,43,1.0,,9.0,38.0,,5.0
1913,41.385714285714286,51.46666666666667,61.42857142857143,47.14625,43.87,52.11,Connecticut,33,,1.0,6.0,31.0,,
1914,38.3,48.35714285714285,58.4,37.816,32.37,45.95,Connecticut,23,,,3.0,19.0,,2.0
1915,39.95,49.75,59.5625,45.21666666666667,37.94,53.57,Connecticut,7,,,4.0,7.0,,
1916,38.57142857142857,48.12857142857143,57.6625,41.64571428571429,38.48,43.93,Connecticut,14,2.0,,3.0,13.0,,1.0
1917,36.355555555555554,46.26666666666667,56.2,39.20666666666667,31.37,45.36,Connecticut,4,,,1.0,3.0,,1.0
1918,38.775,48.525,58.63333333333333,42.925714285714285,38.52,48.54,Connecticut,6,,,1.0,5.0,,
1919,39.61111111111112,49.575,59.77777777777778,52.98857142857143,45.38,60.13,Connecticut,19,,,4.0,15.0,,3.0
1920,39.43333333333333,49.15,58.900000000000006,56.12875,48.29,61.51,Connecticut,25,1.0,1.0,8.0,22.0,,1.0
1921,41.44285714285714,51.271428571428565,61.114285714285714,42.74375,34.55,52.17,Connecticut,7,,,1.0,7.0,,
1922,39.0,48.74444444444444,58.92222222222222,44.14,39.82,51.22,Connecticut,7,,,1.0,7.0,,
1923,36.833333333333336,47.9,58.5,46.5675,42.03,53.53,Connecticut,9,,,2.0,7.0,,2.0
1924,37.21,47.84,58.48,38.40285714285714,33.55,43.66,Connecticut,231,3.0,,90.0,227.0,,3.0
1925,38.71111111111111,49.28888888888889,59.87777777777777,45.51333333333333,42.11,50.31,Connecticut,241,2.0,,116.0,236.0,,3.0
1926,37.18888888888889,47.43333333333333,57.66666666666666,43.40222222222222,39.98,50.89,Connecticut,102,2.0,,28.0,101.0,,1.0
1927,39.46666666666667,49.488888888888894,59.52,51.642857142857146,46.64,58.15,Connecticut,8,,,2.0,7.0,,
1928,38.97777777777778,49.144444444444446,59.266666666666666,43.34571428571429,38.78,49.43,Connecticut,9,,1.0,1.0,7.0,1.0,
1929,38.575,49.25,59.9,42.3325,39.44,46.83,Connecticut,20,1.0,2.0,,12.0,1.0,1.0
