DATE,TMIN,TAVG,TMAX
1900,40.88333333333333,51.050000000000004,60.81428571428571
1901,39.24285714285714,49.04,58.583333333333336
1902,39.6,49.42,59.54
1903,38.92857142857143,48.785714285714285,58.65714285714286
1904,35.6,46.025,56.228571428571435
1905,38.480000000000004,48.739999999999995,59.02
1906,39.857142857142854,49.68333333333334,59.81666666666666
1907,37.38,47.760000000000005,57.771428571428565
1908,39.475,49.775,60.075
1909,38.9375,48.8875,58.85
1910,39.2,49.3,59.4125
1911,39.3625,49.4625,59.5625
1912,38.45,48.525,58.6
1913,41.385714285714286,51.46666666666667,61.42857142857143
1914,38.300000000000004,48.357142857142854,58.4
1915,39.95,49.75,59.5625
1916,38.57142857142857,48.12857142857143,57.6625
1917,36.355555555555554,46.26666666666667,56.2
1918,38.775,48.525,58.63333333333333
1919,39.611111111111114,49.575,59.77777777777778
1920,39.43333333333333,49.15,58.900000000000006
1921,41.44285714285714,51.271428571428565,61.114285714285714
1922,39.0,48.74444444444444,58.92222222222222
1923,36.833333333333336,47.9,58.5
1924,37.21,47.839999999999996,58.48
1925,38.71111111111111,49.28888888888889,59.87777777777777
1926,37.18888888888889,47.43333333333333,57.666666666666664
1927,39.46666666666667,49.488888888888894,59.52
1928,38.97777777777778,49.144444444444446,59.266666666666666
1929,38.575,49.25,59.9
1930,39.79,50.56,61.339999999999996
1931,41.077777777777776,51.56666666666667,62.044444444444444
1932,40.054545454545455,50.445454545454545,60.85454545454545
1933,40.48888888888889,50.32222222222222,60.14444444444444
1934,37.65,48.42,59.14
1935,37.86,48.46,59.05
1936,38.08,48.9,59.75
1937,39.583333333333336,50.08181818181818,60.5
1938,38.87,50.099999999999994,61.37777777777777
1939,37.791666666666664,48.79,59.73
1940,36.03636363636363,46.42,56.845454545454544
1941,38.32857142857143,49.800000000000004,61.06666666666666
1942,38.43076923076923,48.760000000000005,59.17999999999999
1943,36.75,47.78,58.92999999999999
1944,37.84166666666667,48.71111111111111,60.099999999999994
1945,38.32,49.26428571428572,60.00714285714286
1946,38.38823529411765,49.85333333333333,61.28
1947,38.480000000000004,49.478571428571435,60.18571428571429
1948,36.5,48.059999999999995,59.02
