"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DX70","DX90","EMNT","EMXT","HTDD","TAVG","TMAX","TMIN"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1966",,,"-12",,,,,"34.7"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1967",,,"-21",,,,,"33.4"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1968","       144","        14","-14","97",,"46.2","59.3","33.2"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1969","       136","         9","-6","95","7001","47.5","59.1","35.8"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1970","       136","        14","-18","95","7134","47.1","58.6","35.6"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1971","       143","         8","-20","93","7056","47.7","59.4","35.9"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1972","       124","         3","-14","90","6741","46.7","57.3","36.0"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1973","       134","        16","-3","94","6496","49.8","61.0","38.6"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1974","       123","         5","-9","93","6566","47.6","59.0","36.2"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1975","       132","         9","-15","100","6716","48.5","59.7","37.3"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1976","       131","         7","-9","94","6396","47.0","58.8","35.2"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1977","       141","         8","-10","95","7346","47.3","58.6","35.9"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1978","       121","         5","-14","93","7200","45.8","57.8","33.7"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1979",,,,,"6842",,,
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1980","       128","        14",,"99",,,"58.6",
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1981",,,,,"7110",,,
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1982","       139","         9","-16","100",,"47.3","59.7","35.0"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1983",,,,,"6141",,,
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1984","       131","        14","-23","96",,"48.8","60.3","37.3"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1985",,,"-11",,"6109",,,"36.7"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1986","       135","         4","-2","95",,"47.9","59.3","36.4"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1987",,,"-11",,,,,"36.6"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1988",,,,,,,,
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1989","       130","         1","-11","90","6784","46.5","57.5","35.5"
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1990",,,,,"6703",,,
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1991",,,,,,,,
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1992",,,,,,,,
"USC00069388","WEST THOMPSON LAKE, CT US","41.9442","-71.9031","109.7","1993",,,,,,,,
