year,stateProvince,total_n_species,Nymphalidae_n_species,Apidae_n_species,Noctuidae_n_species,Lepidoptera_n_species,Papilionidae_n_species,Coleoptera_n_species
1901,Connecticut,7,,,,6.0,,1.0
1902,Connecticut,7,,1.0,,1.0,1.0,1.0
1903,Connecticut,9,,,,5.0,,
1904,Connecticut,45,,5.0,,4.0,,
1905,Connecticut,30,,5.0,,8.0,,1.0
1906,Connecticut,47,5.0,,10.0,46.0,1.0,
1907,Connecticut,23,,1.0,6.0,21.0,,
1908,Connecticut,95,,,23.0,93.0,,
1909,Connecticut,92,,1.0,13.0,91.0,,
1910,Connecticut,93,,4.0,8.0,82.0,,3.0
1911,Connecticut,61,,,3.0,58.0,,
1912,Connecticut,43,1.0,,9.0,38.0,,5.0
1913,Connecticut,33,,1.0,6.0,31.0,,
1914,Connecticut,23,,,3.0,19.0,,2.0
1915,Connecticut,7,,,4.0,7.0,,
1916,Connecticut,14,2.0,,3.0,13.0,,1.0
1917,Connecticut,4,,,1.0,3.0,,1.0
1918,Connecticut,6,,,1.0,5.0,,
1919,Connecticut,19,,,4.0,15.0,,3.0
1920,Connecticut,25,1.0,1.0,8.0,22.0,,1.0
1921,Connecticut,7,,,1.0,7.0,,
1922,Connecticut,7,,,1.0,7.0,,
1923,Connecticut,9,,,2.0,7.0,,2.0
1924,Connecticut,231,3.0,,90.0,227.0,,3.0
1925,Connecticut,241,2.0,,116.0,236.0,,3.0
1926,Connecticut,102,2.0,,28.0,101.0,,1.0
1927,Connecticut,8,,,2.0,7.0,,
1928,Connecticut,9,,1.0,1.0,7.0,1.0,
1929,Connecticut,20,1.0,2.0,,12.0,1.0,1.0
1930,Connecticut,71,2.0,5.0,8.0,56.0,1.0,3.0
1931,Connecticut,31,2.0,,,24.0,,2.0
1932,Connecticut,49,3.0,,2.0,40.0,1.0,4.0
1933,Connecticut,37,1.0,1.0,3.0,23.0,3.0,2.0
1934,Connecticut,70,,2.0,8.0,51.0,,4.0
1935,Connecticut,33,1.0,3.0,9.0,18.0,,3.0
1936,Connecticut,32,2.0,2.0,4.0,16.0,2.0,8.0
1937,Connecticut,34,1.0,4.0,,13.0,1.0,5.0
1938,Connecticut,90,12.0,1.0,15.0,70.0,3.0,5.0
1939,Connecticut,271,22.0,1.0,44.0,265.0,4.0,2.0
1940,Connecticut,270,22.0,1.0,38.0,252.0,4.0,5.0
1941,Connecticut,349,22.0,2.0,61.0,274.0,4.0,9.0
1942,Connecticut,143,9.0,11.0,1.0,47.0,1.0,10.0
1943,Connecticut,79,6.0,3.0,5.0,44.0,3.0,2.0
1944,Connecticut,104,12.0,3.0,7.0,87.0,4.0,5.0
1945,Connecticut,52,3.0,3.0,3.0,28.0,,3.0
1946,Connecticut,88,7.0,3.0,3.0,50.0,,5.0
1947,Connecticut,46,3.0,,3.0,26.0,,4.0
1948,Connecticut,27,2.0,,,10.0,,7.0
1949,Connecticut,118,13.0,,14.0,97.0,4.0,5.0
1950,Connecticut,200,17.0,,45.0,187.0,3.0,2.0
1951,Connecticut,137,15.0,1.0,32.0,125.0,2.0,1.0
1952,Connecticut,312,17.0,,92.0,304.0,4.0,
1953,Connecticut,300,15.0,1.0,72.0,277.0,2.0,2.0
1954,Connecticut,370,18.0,1.0,107.0,339.0,3.0,
1955,Connecticut,330,12.0,4.0,115.0,304.0,2.0,4.0
1956,Connecticut,283,8.0,,102.0,280.0,2.0,
1957,Connecticut,458,12.0,,175.0,454.0,2.0,1.0
1958,Connecticut,523,17.0,2.0,145.0,509.0,2.0,1.0
1959,Connecticut,531,16.0,2.0,162.0,525.0,3.0,2.0
1960,Connecticut,336,19.0,3.0,94.0,312.0,3.0,1.0
1961,Connecticut,307,14.0,2.0,74.0,287.0,1.0,3.0
1962,Connecticut,370,14.0,1.0,98.0,340.0,2.0,5.0
1963,Connecticut,289,7.0,2.0,108.0,264.0,2.0,1.0
1964,Connecticut,474,7.0,5.0,171.0,433.0,2.0,2.0
1965,Connecticut,384,6.0,10.0,130.0,350.0,2.0,2.0
1966,Connecticut,327,12.0,,96.0,279.0,3.0,3.0
1967,Connecticut,334,5.0,3.0,114.0,290.0,1.0,2.0
1968,Connecticut,351,15.0,6.0,115.0,309.0,1.0,1.0
1969,Connecticut,245,11.0,6.0,73.0,197.0,2.0,
1970,Connecticut,233,13.0,11.0,50.0,146.0,3.0,7.0
1971,Connecticut,219,8.0,7.0,61.0,167.0,2.0,5.0
1972,Connecticut,207,7.0,7.0,57.0,155.0,3.0,1.0
1973,Connecticut,551,20.0,17.0,163.0,453.0,2.0,5.0
1974,Connecticut,262,15.0,9.0,60.0,213.0,1.0,5.0
1975,Connecticut,289,10.0,8.0,63.0,248.0,3.0,7.0
1976,Connecticut,325,13.0,5.0,76.0,273.0,2.0,2.0
1977,Connecticut,239,10.0,7.0,42.0,177.0,2.0,2.0
1978,Connecticut,193,11.0,9.0,26.0,130.0,3.0,2.0
1979,Connecticut,360,15.0,6.0,65.0,274.0,3.0,4.0
1980,Connecticut,260,15.0,9.0,54.0,199.0,3.0,4.0
1981,Connecticut,292,21.0,3.0,51.0,265.0,3.0,5.0
1982,Connecticut,202,11.0,12.0,21.0,99.0,1.0,12.0
1983,Connecticut,212,13.0,11.0,12.0,117.0,1.0,8.0
1984,Connecticut,213,19.0,13.0,10.0,137.0,4.0,10.0
1985,Connecticut,160,5.0,16.0,15.0,94.0,2.0,11.0
1986,Connecticut,221,13.0,4.0,73.0,190.0,3.0,9.0
1987,Connecticut,123,4.0,4.0,34.0,93.0,1.0,8.0
1988,Connecticut,70,3.0,5.0,3.0,41.0,,11.0
1989,Connecticut,76,11.0,1.0,2.0,65.0,4.0,10.0
1990,Connecticut,158,14.0,4.0,11.0,85.0,2.0,15.0
1991,Connecticut,52,2.0,,1.0,31.0,2.0,9.0
1992,Connecticut,63,9.0,5.0,2.0,46.0,1.0,5.0
1993,Connecticut,43,8.0,1.0,1.0,34.0,1.0,4.0
1994,Connecticut,256,6.0,8.0,55.0,236.0,2.0,2.0
1995,Connecticut,333,26.0,5.0,56.0,295.0,4.0,4.0
1996,Connecticut,114,26.0,4.0,3.0,96.0,4.0,3.0
